Amount,Details,TransactionDate
101.2,Trybooking* Harriet Mo Auckland      Nz ,28/08/22
178.5,Ohau Snowfields        Lake Ohau     Nz ,27/08/22
20,Lake Ohau Lodge        Lake Ohau     Nz ,27/08/22
20,Lake Ohau Lodge        Lake Ohau     Nz ,27/08/22
14.07,New World Centre City  Dunedin       Nz ,26/08/22
76.4,Countdown Online       Auckland      Nz ,26/08/22
15.94,Cosmic Dunedin         Dunedin       Nz ,26/08/22
27.8,Kebab King             Oamaru        Nz ,26/08/22
75.42,Bp 2Go Oamaru          Oamaru        Nz ,26/08/22
60,Mgl Orari St           Oamaru        Nz ,25/08/22
12,Countdown Dunedin Ctr  Dunedin       Nz ,25/08/22
5.28,New World Centre City  Dunedin       Nz ,24/08/22
30,Hallensteins 50 Hbl    Dunedin       Nz ,24/08/22
67.69,Countdown Online       Auckland      Nz ,23/08/22
79.99,Torpedo7               Hamilton      Nz ,21/08/22
8.04,Pak N Save Dunedin     Sth Dunedin   Nz ,20/08/22
20.3,The Warehouse 183      Sth Dunedin   Nz ,20/08/22
26,Waste Management       Auckland      Nz ,20/08/22
71.17,Countdown Online       Auckland      Nz ,20/08/22
44.17,Farmers                Dunedin       Nz ,19/08/22
66.79,Uber   *Eats           Help.Uber.Com Nz ,18/08/22
77.89,Countdown Online       Auckland      Nz ,16/08/22
1217.85,Ami Insurance          Auckland      Nz ,15/08/22
10,2Degrees Mobile        Auckland      Nz ,13/08/22
6.58,Chargenet Nz Limited   Rosedale      Nz ,13/08/22
22,Redstar Bb* Online     Wanaka        Nz ,13/08/22
11.65,Chargenet Nz Limited   Rosedale      Nz ,13/08/22
16.35,Chargenet Nz Limited   Rosedale      Nz ,13/08/22
75,Treble Cone Ski Field  Wanaka        Nz ,13/08/22
12,Bp 2Go Cromwell        Cromwell      Nz ,13/08/22
13,Emerson'S Taproom      Dunedin       Nz ,12/08/22
60.46,Pak N Save Dunedin     Sth Dunedin   Nz ,12/08/22
304.52,Frank Energy           093612154     Nz ,12/08/22
21.76,New World Centre City  Dunedin       Nz ,11/08/22
55,Apple New Zealand      Auckland      Nz ,11/08/22
132.78,Ami Insurance          Auckland      Nz ,10/08/22
9,Nz Transport Agency    Palmerston No Nz ,10/08/22
70.09,Nz Transport Agency    Palmerston No Nz ,10/08/22
1.69,Apple.Com/Bill         Sydney        Au ,10/08/22
42.5,Sp Revive.Co.Nz Yum    Auckland      Nz ,9/08/22
107.08,Countdown Online       Auckland      Nz ,9/08/22
72.27,Yogijis Food Mart      North Dunedin Nz ,8/08/22
89.81,Pak N Save Dunedin     Sth Dunedin   Nz ,5/08/22
68.62,Mcfarlanes Tyre        Dunedin       Nz ,3/08/22
49.52,New World Centre City  Dunedin       Nz ,3/08/22
7.98,Uni Mart               Dunedin       Nz ,3/08/22
85,Snow Sports Nz         Wanaka        Nz ,2/08/22
96.51,Countdown Online       Auckland      Nz ,2/08/22
15,Subway George St       Dunedin       Nz ,1/08/22
33.1,Countdown Dunedin Ctr  Dunedin       Nz ,30/07/22
64.79,Uber   *Eats           Help.Uber.Com Nz ,30/07/22
12.5,Joe'S Garage Dunedin   Dunedin       Nz ,29/07/22
4.5,Countdown Dunedin Ctr  Dunedin       Nz ,29/07/22
1655.27,Direct Debit Payment - Thank You ,28/07/22
163.65,Countdown Online       Auckland      Nz ,26/07/22
23.5,Hell Pizza Dunedin S   Dunedin       Nz ,24/07/22
24.5,Emerson'S Taproom      Dunedin       Nz ,23/07/22
17,Emerson'S Taproom      Dunedin       Nz ,23/07/22
17.09,New World Centre City  Dunedin       Nz ,22/07/22
34.31,New World Centre City  Dunedin       Nz ,20/07/22
71.39,Pak N Save Dunedin     Sth Dunedin   Nz ,17/07/22
22,The Warehouse 183      Sth Dunedin   Nz ,17/07/22
180.88,Countdown Online       Auckland      Nz ,17/07/22
64.79,Bin Inn Foodmarket     Dunedin       Nz ,16/07/22
13.9,Countdown Dunedin Ctr  Dunedin       Nz ,16/07/22
55.07,Pak N Save Dunedin     Sth Dunedin   Nz ,15/07/22
12,Ombrellos              Dunedin       Nz ,15/07/22
23.38,Dunedin Harbourfish    Dunedin       Nz ,15/07/22
80,Mgl Orari St           Oamaru        Nz ,15/07/22
89.96,Paypal *Chris.Huerta.C 4029357733    Sg ,15/07/22
347.81,Frank Energy           093612154     Nz ,14/07/22
89.96,Paypal *Chris.Huerta.C 4029357733    Sg ,14/07/22
10,2Degrees Mobile        Auckland      Nz ,13/07/22
12,Trademe K250 Ping      Wellington    Nz ,12/07/22
49.01,New World Centre City  Dunedin       Nz ,11/07/22
75.91,Sportsfuel             Hamilton      Nz ,11/07/22
13.5,Coffee Culture Chch Ai Christchurch  Nz ,10/07/22
25,Countdown Dunedin Ctr  Dunedin       Nz ,10/07/22
6.99,Apple.Com/Bill         Sydney        Au ,10/07/22
1.69,Apple.Com/Bill         Sydney        Au ,10/07/22
12.6,Chch Flythru Coffee St Christchurch  Nz ,10/07/22
205.47,Countdown Online       Auckland      Nz ,10/07/22
144.99,Apple.Com/Bill         Sydney        Au ,4/07/22
3733.88,Direct Debit Payment - Thank You ,1/07/22
991.06,Airbnb                 Airbnb.Com    Gb ,23/06/22
35.12,Uber* Eats             Ciudad De Mex Mx ,18/06/22
41.22,Uber* Trip             Ciudad De Mex Mx ,16/06/22
0.81,Uber* Trip             Ciudad De Mex Mx ,16/06/22
38.8,Uber* Trip             Ciudad De Mex Mx ,15/06/22
239.82,Frank Energy           093612154     Nz ,14/06/22
8,The Warehouse 209      Airport       Nz ,13/06/22
26.52,Kawau Kitchen          Auckland      Nz ,13/06/22
9.71,Countdown Akl Airport  Manukau       Nz ,13/06/22
40.29,New World Centre City  Dunedin       Nz ,10/06/22
1.69,Apple.Com/Bill         Sydney        Au ,10/06/22
34.77,Kiwi Fuels Eastgate    Dunedin       Nz ,9/06/22
53.49,Countdown Online       Auckland      Nz ,7/06/22
31.88,Mitre 10 Mega Dunedin  Dunedin       Nz ,4/06/22
33.58,Bp 2Go Mornington      Dunedin       Nz ,4/06/22
46.99,Delvreasy* O6009170    Wellington    Nz ,3/06/22
21.52,New World Centre City  Dunedin       Nz ,3/06/22
10,2Degrees Mobile        Auckland      Nz ,2/06/22
8.98,New World Centre City  Dunedin       Nz ,30/05/22
3064.26,Direct Debit Payment - Thank You ,30/05/22
470,Allianz Partners       Auckland      Nz ,30/05/22
87.58,Countdown Online       Auckland      Nz ,30/05/22
18.18,Farmers                Dunedin       Nz ,28/05/22
17.55,Countdown Dunedin Ctr  Dunedin       Nz ,28/05/22
53.38,New World Centre City  Dunedin       Nz ,27/05/22
27.75,New World Centre City  Dunedin       Nz ,26/05/22
52.2,Min Bus Innovation & E Wellington    Nz ,25/05/22
264.8,Airbnb                 Airbnb.Com    Gb ,24/05/22
46.83,Bin Inn Foodmarket     Dunedin       Nz ,24/05/22
113.65,Countdown Online       Auckland      Nz ,24/05/22
7.98,New World Centre City  Dunedin       Nz ,23/05/22
55.58,Farmers                Dunedin       Nz ,23/05/22
852.95,Airbnb                 Airbnb.Com    Gb ,21/05/22
48.94,Z Green Island         Green Island  Nz ,21/05/22
150.11,Polynesian Hostel      808-9221340   Hi ,21/05/22
4.18,New World Centre City  Dunedin       Nz ,18/05/22
335.75,Mitre 10 Mega Dunedin  Dunedin       Nz ,16/05/22
104.97,Countdown Online       Auckland      Nz ,16/05/22
28.97,Mitre 10 Mega Dunedin  Dunedin       Nz ,15/05/22
14,Patti'S & Cream        Concord       Nz ,14/05/22
102.56,Pak N Save Dunedin     Sth Dunedin   Nz ,14/05/22
6,Nicols Garden Cafe     Dunedin       Nz ,14/05/22
27.98,Nichol'S Garden Cent   Dunedin       Nz ,14/05/22
15,Subway George St       Dunedin       Nz ,13/05/22
210.96,Frank Energy           093612154     Nz ,13/05/22
30.64,New World Centre City  Dunedin       Nz ,11/05/22
106.16,Airbnb                 Airbnb.Com    Gb ,10/05/22
67.48,Countdown Online       Auckland      Nz ,10/05/22
1.69,Apple.Com/Bill         Sydney        Au ,10/05/22
24.99,Torpedo7               Hamilton      Nz ,9/05/22
5.88,New World Centre City  Dunedin       Nz ,9/05/22
30,Hallensteins 50 Hbl    Dunedin       Nz ,9/05/22
27.8,Pita Pit George Street Dunedin       Nz ,9/05/22
38,Papa Chou'S Yum-Char & Dunedin       Nz ,7/05/22
41.98,Rebel Dunedin          Dunedin       Nz ,6/05/22
40.68,Pak N Save Dunedin     Sth Dunedin   Nz ,6/05/22
36.89,Andy Bay Thai          Dunedin       Nz ,6/05/22
12,Countdown Dunedin Ctr  Dunedin       Nz ,3/05/22
132.86,Countdown Online       Auckland      Nz ,3/05/22
20,2Degrees Mobile        Auckland      Nz ,2/05/22
27.8,Pita Pit George Street Dunedin       Nz ,2/05/22
518.16,Hydro Surf             Dunedin       Nz ,2/05/22
18.81,Chargenet Nz Limited   Rosedale      Nz ,1/05/22
4.59,Chargenet Nz Limited   Rosedale      Nz ,1/05/22
15.2,Bp Connect Moorhouse   Christchurch  Nz ,1/05/22
13.8,Mcdonalds Ashburton    Ashburton     Nz ,1/05/22
49,The Warehouse 176      Ashburton     Nz ,30/04/22
16.46,Chargenet Nz Limited   Rosedale      Nz ,30/04/22
50,Aroy Thai Restaurant   Christchurch  Nz ,30/04/22
42.98,Bottle O Ashburton     Ashburton     Nz ,30/04/22
15,Subway Ashburton       Ashburton     Nz ,30/04/22
9.95,Cosmic Container Store Christchurch  Nz ,30/04/22
4852.31,Direct Debit Payment - Thank You ,28/04/22
80.3,Z Andy Bay             Andy Bay      Nz ,28/04/22
45.57,Bin Inn Foodmarket     Dunedin       Nz ,28/04/22
23.5,Hell Pizza Dunedin S   Dunedin       Nz ,28/04/22
12.84,New World Centre City  Dunedin       Nz ,27/04/22
79.53,Countdown Online       Auckland      Nz ,26/04/22
183.54,Codecademy             184-49302633  Ny ,23/04/22
56.3,Spirit House Dud       Christchurch  Nz ,23/04/22
120.89,Mx Travel Doc          934989620     Es ,23/04/22
118.6,Mx Travel Doc          934989620     Es ,23/04/22
6.17,New World Centre City  Dunedin       Nz ,22/04/22
115.96,Countdown Online       Auckland      Nz ,21/04/22
7,Countdown Online       Auckland      Nz ,21/04/22
18.7,Countdown Dunedin Ctr  Dunedin       Nz ,20/04/22
51.33,Caltex Alexandra       Alexandra     Nz ,18/04/22
35,Devil Burger Queenstow Queenstown    Nz ,18/04/22
63.92,Z Mosgiel              Mosgiel       Nz ,16/04/22
30.39,Caribe Queenstown      Queenstown    Nz ,16/04/22
5,Teviot Tearooms        Roxburgh      Nz ,16/04/22
8.99,Henrys Queenstown      Queenstown    Nz ,16/04/22
43.95,Countdown Mosgiel      Mosgiel       Nz ,16/04/22
10.06,Countdown Mosgiel      Mosgiel       Nz ,16/04/22
6.99,Apple.Com/Bill         Sydney        Au ,16/04/22
42,Department Of Conserva Te Aro        Nz ,15/04/22
8,Duotrope               Httpsduotrope Nm ,14/04/22
135.82,Countdown Online       Auckland      Nz ,13/04/22
166.1,Frank Energy           093612154     Nz ,11/04/22
1.69,Apple.Com/Bill         Sydney        Au ,10/04/22
28.18,Freshchoice Green Is   Green Island  Nz ,10/04/22
116.08,Hyper Ride Limited     Penrose       Nz ,9/04/22
385.18,Airbnb                 Airbnb.Com    Gb ,9/04/22
120.98,North Beach Online     Auckland      Nz ,9/04/22
75.99,Pak N Save Dunedin     Sth Dunedin   Nz ,8/04/22
29.36,Torpedo 7 Dunedin      Dunedin       Nz ,8/04/22
40,Bp Connect Southern    Dunedin       Nz ,6/04/22
127.22,Countdown Online       Auckland      Nz ,6/04/22
13.53,Asian Groceries        Dunedin       Nz ,2/04/22
94.75,Mitre 10 Mega Dunedin  Dunedin       Nz ,2/04/22
4.3,Plaza Dunedin          Dunedin       Nz ,1/04/22
4,Recreation Centre      Dunedin       Nz ,1/04/22
9.48,Pak N Save Dunedin     Sth Dunedin   Nz ,31/03/22
10,2Degrees Mobile        Auckland      Nz ,30/03/22
20,Bee Card Scheme        Dunedin       Nz ,29/03/22
81.13,Countdown Online       Auckland      Nz ,29/03/22
1710.08,Direct Debit Payment - Thank You ,28/03/22
59.19,Countdown Dunedin Ctr  Dunedin       Nz ,28/03/22
25,The Craic Irish Tavern Dunedin       Nz ,25/03/22
23.83,Bin Inn Foodmarket     Dunedin       Nz ,24/03/22
36.89,Andy Bay Thai          Dunedin       Nz ,24/03/22
139.23,Countdown Online       Auckland      Nz ,23/03/22
167.9,Sp * Scapegrace        Auckland      Nz ,23/03/22
28,Nanking Palace         Dunedin       Nz ,23/03/22
67.13,Bp Connect Southern    Dunedin       Nz ,22/03/22
20.06,Countdown Dunedin Ctr  Dunedin       Nz ,22/03/22
1538.24,Qantas Ai0812320087040 000           Au ,20/03/22
1538.24,Qantas Ai0812320087042 000           Au ,20/03/22
52.21,Countdown Mosgiel      Mosgiel       Nz ,19/03/22
3.6,Rob Roy Dairy          Dunedin       Nz ,18/03/22
36.99,Liquorland Anderson Ba Dunedin       Nz ,18/03/22
296,Cycle World Dunedin    Dunedin       Nz ,17/03/22
13.72,New World Centre City  Dunedin       Nz ,16/03/22
13.89,Uni Mart               Dunedin       Nz ,16/03/22
95.31,New World Centre City  Dunedin       Nz ,15/03/22
95.06,Countdown Online       Auckland      Nz ,15/03/22
29.4,Countdown Dunedin Ctr  Dunedin       Nz ,14/03/22
8,Duotrope Trial End     Httpsduotrope Nm ,14/03/22
18.5,Coffee Dot             Port Chalmers Nz ,12/03/22
40,Bp Connect Southern    Dunedin       Nz ,11/03/22
128.21,Frank Energy           093612154     Nz ,11/03/22
1.69,Apple.Com/Bill         Sydney        Au ,10/03/22
47.27,Bin Inn Foodmarket     Dunedin       Nz ,9/03/22
65.69,Pak N Save Dunedin     Sth Dunedin   Nz ,9/03/22
91.46,Countdown Online       Auckland      Nz ,8/03/22
40,Bp Connect Southern    Dunedin       Nz ,4/03/22
6.99,Apple.Com/Bill         Sydney        Au ,3/03/22
61,The Warehouse 183      Sth Dunedin   Nz ,1/03/22
275.68,Pak N Save Dunedin     Sth Dunedin   Nz ,1/03/22
12.05,Bargain Chemist Dunedi Dunedin       Nz ,1/03/22
1354.04,Direct Debit Payment - Thank You ,28/02/22
10,2Degrees Mobile        Auckland      Nz ,28/02/22
37,Emerson'S Brewery      Dunedin       Nz ,27/02/22
34,Jizo Japanese Cafe     Dunedin       Nz ,26/02/22
62.24,Caltex City North      North Dunedin Nz ,25/02/22
39.13,New World Centre City  Dunedin       Nz ,25/02/22
23.5,Hell Pizza North Dun   Dunedin       Nz ,25/02/22
34.95,New World Centre City  Dunedin       Nz ,23/02/22
61.02,Yogijis Food Mart      North Dunedin Nz ,22/02/22
106.17,Countdown Dunedin Ctr  Dunedin       Nz ,22/02/22
34.47,New World Centre City  Dunedin       Nz ,21/02/22
93.2,Sp * Recharge Bar      Clyde         Nz ,20/02/22
4.39,Four Square Wanaka     Wanaka        Nz ,20/02/22
35.5,Redstar Bb* Online     Wanaka        Nz ,19/02/22
28.99,Bettys Wanaka          Queenstown    Nz ,19/02/22
40,Big Fig Wanaka         Wanaka        Nz ,19/02/22
39.62,Uber   *Eats           Help.Uber.Com Nz ,17/02/22
399.99,Hyper Ride Limited     Penrose       Nz ,15/02/22
77.09,Countdown Online       Auckland      Nz ,15/02/22
52.52,New World Centre City  Dunedin       Nz ,14/02/22
8.79,Countdown Dunedin Ctr  Dunedin       Nz ,14/02/22
128.92,Energy Online Ltd      Auckland      Nz ,14/02/22
28.4,Freshchoice Green Is   Green Island  Nz ,12/02/22
77.53,Bp Connect Southern    Dunedin       Nz ,10/02/22
1.69,Apple.Com/Bill         Sydney        Au ,10/02/22
41.48,Bin Inn Foodmarket     Dunedin       Nz ,9/02/22
99.18,Countdown Online       Auckland      Nz ,8/02/22
89.37,Countdown Online       Auckland      Nz ,8/02/22
22.5,Hell Pizza Dunedin S   Dunedin       Nz ,6/02/22
408.98,Hyper Ride Limited     Penrose       Nz ,4/02/22
40.71,Bp Connect Southern    Dunedin       Nz ,3/02/22
3.6,Rob Roy Dairy          Dunedin       Nz ,1/02/22
88.98,Countdown Online       Auckland      Nz ,1/02/22
2874.93,Direct Debit Payment - Thank You ,31/01/22
418.56,Hyper Ride Limited     Penrose       Nz ,31/01/22
39.62,Uber   *Eats           Help.Uber.Com Nz ,29/01/22
1.98,Uber   *Eats           Help.Uber.Com Nz ,29/01/22
117.89,Countdown Online       Auckland      Nz ,28/01/22
1.69,Apple.Com/Bill         Sydney        Au ,27/01/22
10,2Degrees Mobile        Auckland      Nz ,25/01/22
16.4,Velvet Burger          Dunedin       Nz ,25/01/22
8.5,Night N Day Caversha   Dunedin       Nz ,25/01/22
81.41,New World Centre City  Dunedin       Nz ,24/01/22
28.5,Kmart                  Queenstown    Nz ,23/01/22
22,Kmart                  Queenstown    Nz ,23/01/22
2.53,Uber   *Eats           Help.Uber.Com Nz ,22/01/22
25.33,Uber   *Eats           Help.Uber.Com Nz ,22/01/22
53.51,Bin Inn Foodmarket     Dunedin       Nz ,21/01/22
18.87,New World Centre City  Dunedin       Nz ,21/01/22
6.48,Veggie Boys            Dunedin       Nz ,21/01/22
6,Titi                   Dunedin       Nz ,21/01/22
4.36,New World Centre City  Dunedin       Nz ,20/01/22
109.02,Countdown Online       Auckland      Nz ,18/01/22
60.82,Pak N Save Dunedin     Sth Dunedin   Nz ,15/01/22
137.02,Energy Online Ltd      Auckland      Nz ,15/01/22
6.5,Little Black Caravan   Wanaka        Nz ,14/01/22
20.27,New World Wanaka       Wanaka        Nz ,11/01/22
238.99,Torpedo7               Hamilton      Nz ,6/01/22
7.46,Stomp Sessions         Www.Stompsess Ca ,6/01/22
40,Department Of Conserva Te Aro        Nz ,6/01/22
99.72,Countdown Online       Auckland      Nz ,6/01/22
28,Dost Turkish Cafe Ta   Dunedin       Nz ,5/01/22
12.99,Octagon Night 'N Day F Dunedin       Nz ,5/01/22
20,Air Nz One             Auckland      Nz ,4/01/22
74.6,Paper Moon Cafe        Auckland      Nz ,4/01/22
70.21,Go Go Daddy            Auckland      Nz ,3/01/22
9.9,Caltex Western Hills   Whangarei     Nz ,2/01/22
8.54,Patreon* Membership    Internet      Ie ,1/01/22
1619.18,Direct Debit Payment - Thank You ,30/12/21
5,Shaun & Fiona Kehely   Kaitaia       Nz ,30/12/21
28,Packhouse Market       Auckland      Nz ,29/12/21
35,Countdown Kerikeri     Kerikeri      Nz ,29/12/21
117.53,New World Orewa        Orewa         Nz ,28/12/21
35.99,Merchants Liquor Orewa Orewa         Nz ,28/12/21
15,Bake And Brew          Orewa         Nz ,28/12/21
45,Air Nz Duin Airport    Dunedin       Nz ,27/12/21
37.2,Burger Fuel Albany     North Shore   Nz ,27/12/21
9.99,Pak N Save Albany      Dr Albany     Nz ,27/12/21
84,Supershuttle           North Shore   Nz ,27/12/21
53,Ramen Takara Limited   Auckland      Nz ,27/12/21
50,Npd Mossburn Fuelstop  Mossburn      Nz ,26/12/21
102.72,Waking Up Course Llc   Httpswakingup Ca ,25/12/21
10,2Degrees Mobile        Auckland      Nz ,24/12/21
22.99,Big Barrel Concord     Dunedin       Nz ,23/12/21
54.09,Z Mosgiel              Mosgiel       Nz ,23/12/21
8,Food For Thought       Clinton       Nz ,23/12/21
70.95,Briscoes Dunedin       Dunedin       Nz ,22/12/21
43.22,New World Centre City  Dunedin       Nz ,22/12/21
46.5,Spirit House Dud       Christchurch  Nz ,22/12/21
99.99,Torpedo7               Hamilton      Nz ,21/12/21
21.53,New World Centre City  Dunedin       Nz ,21/12/21
71.3,Countdown Online       Auckland      Nz ,21/12/21
79.98,Kathmandu Dunedin      Dunedin       Nz ,20/12/21
64.76,New World Centre City  Dunedin       Nz ,17/12/21
54.3,Frozen Direct 2010     Dunedin       Nz ,17/12/21
51.47,Nichol'S Garden Cent   Dunedin       Nz ,17/12/21
119.19,Disputed Transaction Reversal ,16/12/21
29.2,Buster Greens (2021) L Dunedin       Nz ,16/12/21
19,The Photo Gallery      Dunedin       Nz ,16/12/21
119.19,Www.Datendix.Com       441615200990  Cz ,16/12/21
119.5,Disputed Transaction Reversal ,15/12/21
14.5,Subway George St       Dunedin       Nz ,15/12/21
30.65,Bargain Chemist Dunedi Dunedin       Nz ,15/12/21
36,Mighty Ape Limited     Millwater     Nz ,15/12/21
12.5,Ombrellos              Dunedin       Nz ,15/12/21
41,New New New            Dunedin       Nz ,15/12/21
37.98,Countdown Dunedin Ctr  Dunedin       Nz ,15/12/21
119.5,Www.Casherds.Com       442382560038  Cz ,15/12/21
119.2,Disputed Transaction Reversal ,14/12/21
122.51,Countdown Online       Auckland      Nz ,14/12/21
38.06,Bp Connect Southern    Dunedin       Nz ,14/12/21
119.2,Www.Librican.Com       442045200259  Cz ,14/12/21
4.3,Countdown Dunedin Ctr  Dunedin       Nz ,13/12/21
1.69,Disputed Transaction Reversal ,11/12/21
1.69,Disputed Transaction Reversal ,11/12/21
1.69,Disputed Transaction Reversal ,11/12/21
1.69,Www.Datendix.Com       441615200990  Cz ,11/12/21
1.69,Www.Librican.Com       442045200259  Cz ,11/12/21
1.69,Www.Casherds.Com       442382560038  Cz ,11/12/21
10,Allpress Roastery Cafe Dunedin       Nz ,10/12/21
40.93,New World Centre City  Dunedin       Nz ,10/12/21
1.69,Apple.Com/Bill         Sydney        Au ,10/12/21
22.5,Hell Pizza Dunedin S   Dunedin       Nz ,9/12/21
